x,y,type
300.015,492.996,comb
293.1,260.341,comb
483.453,333.08,comb
272.097,118.779,comb
426.771,223.923,comb
254.199,227.572,comb
263.788,478.181,comb
361.654,194.985,comb
503.725,490.991,comb
270.381,424.601,comb
458.459,483.72,comb
379.464,439.301,comb
288.35,240.18,comb
123.904,181.533,comb
458.224,151.514,comb
237.231,454.497,comb
193.234,396.188,comb
457.186,283.148,comb
285.161,446.567,comb
204.493,359.522,comb
508.783,256.436,comb
409.052,458.337,comb
409.577,233.837,comb
292.134,500.646,comb
118.949,107.947,comb
211.773,278.051,comb
390.974,180.426,comb
114.034,281.395,comb
131.528,402.361,comb
302.043,159.908,comb
427.295,432.522,comb
441.277,414.055,comb
397.082,330.107,comb
335.014,500.569,comb
127.802,112.937,comb
234.017,288.145,comb
534.773,314.074,comb
169.03,389.269,comb
182.005,138.585,comb
164.372,300.602,comb
461.463,262.311,comb
197.018,466.5,comb
396.13,419.775,comb
242.419,372.817,comb
501.716,461.402,comb
483.181,367.835,comb
238.351,200.13,comb
491.572,164.319,comb
140.861,161.623,comb
321.148,173.722,comb
356.488,134.516,comb
425.551,359.859,comb
153.576,478.58,comb
237.077,347.732,comb
486.638,433.097,comb
265.519,341.27,comb
302.053,247.914,comb
406.71,192.948,comb
346.6,366.857,comb
99.1465,426.553,comb
436.818,316.369,comb
249.647,236.855,comb
300.457,260.664,comb
488.396,310.936,comb
362.473,323.521,comb
168.142,272.688,comb
352.301,481.368,comb
427.031,222.391,comb
158.405,420.876,comb
208.053,244.603,comb
362.282,175.829,comb
158.05,450.549,comb
188.707,416.455,comb
475.42,173.769,comb
323.985,124.31,comb
425.086,188.142,comb
264.448,327.959,comb
385.497,135.037,comb
176.49,359.608,comb
367.266,139.52,comb
466.164,479.302,comb
187.718,261.127,comb
318.946,414.198,comb
356.872,310.893,comb
495.609,282.902,comb
301.276,310.452,comb
347.651,377.963,comb
368.615,277.78,comb
437.801,436.367,comb
377.971,100.701,comb
423.034,158.31,comb
197.605,175.089,comb
299.102,158.292,comb
153.437,437.27,comb
261.29,386.448,comb
252.479,346.491,comb
422.674,329.966,comb
514.508,286.914,comb
359.959,289.824,comb
472.864,296.152,comb
400.489,293.323,comb
467.461,358.884,comb
471.239,200.386,comb
235.698,118.27,comb
263.293,271.46,comb
331.655,303.325,comb
346.62,171.877,comb
106.126,419.772,comb
177.774,367.386,comb
259.709,298.702,comb
328.448,473.894,comb
369.901,232.42,comb
251.462,180.898,comb
125.724,409.751,comb
287.481,447.058,comb
133.083,456.495,comb
415.462,407.418,comb
278.417,317.972,comb
486.258,163.267,comb
190.041,219.965,comb
501.38,385.923,comb
156.24,332.598,comb
188.259,205.202,comb
283.357,295.396,comb
244.558,191.044,comb
128.135,144.55,comb
440.587,403.139,comb
449.803,409.196,comb
247.417,367.134,comb
491.33,334.298,comb
69.8978,426.692,comb
237.034,130.537,comb
305.592,193.535,comb
128.348,170.661,comb
429.587,384.806,comb
392.378,390.947,comb
266.384,121.841,comb
148.999,487.469,comb
202.75,289.248,comb
214.359,357.619,comb
351.331,472.94,comb
365.48,366.411,comb
318.077,359.143,comb
397.13,233.957,comb
480.032,439.61,comb
224.331,301.615,comb
347.087,261.739,comb
520.964,159.221,comb
170.5,131.557,comb
327.956,319.436,comb
261.118,207.603,comb
415.607,307.41,comb
299.886,131.91,comb
487.627,424.988,comb
251.02,226.418,comb
279.002,232.046,comb
115.726,159.568,comb
232.886,332.35,comb
494.257,464.317,comb
311.426,208.974,comb
243.679,525.318,comb
345.095,333.312,comb
487.202,402.423,comb
167.452,493.792,comb
380.468,272.082,comb
354.695,174.582,comb
212.076,433.953,comb
488.382,164.855,comb
126.598,407.715,comb
294.28,464.971,comb
305.763,375.514,comb
309.546,293.844,comb
293.852,283.025,comb
284.314,424.937,comb
256.489,87.601,comb
233.776,487.419,comb
172.897,430.663,comb
167.29,335.989,comb
310.413,282.201,comb
267.507,270.974,comb
477.195,159.948,comb
344.978,185.66,comb
345.722,249.736,comb
257.752,463.476,comb
411.153,416.634,comb
215.389,247.861,comb
314.572,409.971,comb
171.962,351.125,comb
466.494,415.461,comb
135.116,456.185,comb
465.622,450.163,comb
449.315,104.336,comb
326.291,241.497,comb
122.194,222.498,comb
341.072,328.059,comb
158.707,441.893,comb
82.9671,223.888,comb
323.515,167.269,comb
156.174,327.073,comb
201.139,407.405,comb
125.67,259.967,comb
376.827,374.015,comb
474.361,318.311,comb
300.545,418.465,comb
120.826,227.047,comb
295.911,483.258,comb
180.186,303.345,comb
364.436,220.945,comb
214.188,374.744,comb
272.689,145.333,comb
275.147,190.742,comb
340.139,432.145,comb
330.067,124.871,comb
378.459,308.032,comb
389.575,461.909,comb
338.865,149.085,comb
195.868,363.27,comb
465.207,206.397,comb
121.907,400.322,comb
442.185,363.219,comb
423.159,457.308,comb
506,175.239,comb
189.557,122.568,comb
287.21,378.755,comb
203.461,432.744,comb
445.148,278.223,comb
497.947,346.93,comb
159.522,459.224,comb
373.129,438.74,comb
448.464,164.165,comb
156.311,178.579,comb
161.368,318.316,comb
165.546,283.665,comb
488.63,210.11,comb
341.09,185.435,comb
234.062,460.834,comb
307.118,343.818,comb
137.835,290.026,comb
159.796,312.331,comb
180.502,497.899,comb
207.814,177.738,comb
252.826,230.679,comb
167.305,476.768,comb
146.906,401.868,comb
415.211,261.358,comb
291.984,460.782,comb
197.134,327.823,comb
345.777,440.077,comb
321.448,119.885,comb
158.685,320.558,comb
378.017,254.714,comb
488.978,409.77,comb
265.512,255.585,comb
374.906,334.524,comb
319.908,393.471,comb
132.862,123.163,comb
444.869,350.214,comb
227.167,352.485,comb
465.868,459.387,comb
168.631,324.827,comb
336.241,417.509,comb
382.973,158.466,comb
341.829,154.114,comb
157.452,336.412,comb
307.522,404.139,comb
194.864,381.121,comb
438.44,511.282,comb
320.415,117.602,comb
250.665,274.433,comb
127.03,405.087,comb
306.274,108.971,comb
379.969,264.076,comb
192.003,444.627,comb
354.37,226.339,comb
212.154,315.48,comb
289.844,521.873,comb
199.258,330.958,comb
472.221,322.81,comb
464.665,317.162,comb
456.273,505.483,comb
152.588,231.223,comb
112.614,440.728,comb
272.096,476.585,comb
210.503,326.968,comb
116.817,134.473,comb
197.347,220.859,comb
432.975,478.06,comb
125.64,273.393,comb
194.491,413.078,comb
164.462,305.682,comb
418.901,390.353,comb
456.026,174.905,comb
161.146,474.19,comb
258.766,484.471,comb
423.132,402.362,comb
242.835,446.019,comb
80.3259,432.538,comb
264.964,211.433,comb
284.205,333.869,comb
505.684,306.805,comb
428.721,197.327,comb
337.086,377.192,comb
207.78,226.871,comb
397.466,267.221,comb
409.509,196.853,comb
361.229,379.75,comb
275.923,453.646,comb
384.983,371.273,comb
506.438,237.257,comb
186.722,367.712,comb
192.592,397.554,comb
453.927,159.486,comb
458.359,340.816,comb
189.6,261.423,comb
355.826,423.244,comb
155.456,347.86,comb
219.892,206.894,comb
210.497,209.95,comb
285.143,306.956,comb
308.766,290.049,comb
392.914,340.501,comb
476.784,431.434,comb
236.329,472.537,comb
190.254,458.152,comb
354.462,201.363,comb
243.788,298.293,comb
226.306,297.049,comb
372.003,160.355,comb
467.436,486.706,comb
394.022,397.817,comb
417.617,476.625,comb
250.004,262.319,comb
276.736,156.881,comb
466.611,172.285,comb
321.67,296.541,comb
346.542,185.805,comb
368.927,255.893,comb
216.856,161.261,comb
324.627,481.426,comb
470.558,275.772,comb
286.626,150.355,comb
243.695,200.396,comb
143.158,402.995,comb
201.114,473.439,comb
447.454,274.684,comb
461.967,150.553,comb
458.391,426.403,comb
481.206,185.947,comb
199.95,461.103,comb
142.86,371.615,comb
149.167,241.34,comb
276.96,371.078,comb
323.938,257.785,comb
297.38,152.729,comb
177.596,367.617,comb
371.31,190.539,comb
191.843,309.869,comb
266.485,387.529,comb
413.7,466.261,comb
207.653,340.163,comb
392.979,351.062,comb
294.253,351.97,comb
307.556,326.458,comb
256.063,444.056,comb
439.291,469.125,comb
497.138,171.25,comb
427.604,151.723,comb
394.988,457.482,comb
232.321,211.534,comb
194.646,428.378,comb
137.031,151.554,comb
380.541,151.246,comb
332.998,287.64,comb
379.674,346.54,comb
210.547,520.439,comb
354.681,370.327,comb
339.845,501.114,comb
517.846,332.407,comb
531.212,446.579,comb
489.951,240.002,comb
309.286,241.774,comb
251.964,407.778,comb
456.903,157.537,comb
478.675,420.951,comb
206.095,202.995,comb
515.919,162.788,comb
215.848,237.627,comb
155.463,387.745,comb
229.18,278.258,comb
151.825,424.125,comb
215.222,443.355,comb
461.424,436.174,comb
